as_of,requested_close_date,total_portfolio_value_eur,cash_eur,fx_usd_per_eur,source
2026-04-20,2026-04-20,106472.03,15566.74,1.1739,state_file
2026-04-21,2026-04-21,105989.18,15566.74,1.1706,state_file
2026-04-22,2026-04-22,106868.17,15566.74,1.1742,state_file
2026-04-22,2026-04-22,106868.17,15566.74,1.1742,state_file
2026-04-23,2026-04-22,106143.07,15566.74,1.1836,state_file
2026-04-24,2026-04-24,106707.13,15566.74,1.1836,state_file
2026-04-28,2026-04-27,105772.19,15566.74,1.1968,state_file
2026-04-28,2026-04-27,105772.19,15566.74,1.1968,state_file
2026-04-28,2026-04-27,105772.19,15566.74,1.1968,state_file
2026-04-28,2026-04-27,105772.19,15566.74,1.1968,state_file
2026-04-30,2026-04-30,107173.81,15566.74,1.184,state_file
2026-05-01,2026-05-01,107643.74,15566.74,1.184,state_file
2026-05-05,2026-05-04,107535.26,15566.74,1.182,state_file
2026-05-05,2026-05-04,107535.26,15566.74,1.182,state_file
2026-05-05,2026-05-04,108478.51,15566.74,1.17,state_file
